Area_Name,Year,Group_Name,Acquitted,cases_Comp_or_Withdrawn,Arrested,Chargesheeted,Convicted,In_Custody/Bail_Beginning,In_Custody/Bail_Beginning.1,In_Custody/Bail_End, Released_Before_Trial,Trial_Completed,Under_Trial_Beginning,Total_Under_Trial
Andaman & Nicobar Islands,0.0,Kidnapping & Abduction - Women & Girls,0.3662285136501517,0.8,0.8056899004267426,0.7792648444863337,0.7723502304147466,0.8833333333333334,0.864935064935065,0.8072562358276645,0.8,0.8,0.7956159579131961,0.7788445890968267
Tripura,0.0,Molestation,0.3849342770475228,0.8,0.970697012802276,0.862205466540999,0.8276497695852535,1.2861111111111112,1.0727272727272728,0.8444444444444444,1.5941176470588236,0.9713147410358566,0.8306882946076283,0.8244100895036616
Uttar Pradesh,0.0,Molestation,0.9577350859453995,9.55,12.06031294452347,7.996983977379831,17.141013824884794,3.855555555555555,4.111688311688312,9.764172335600907,3.476470588235294,12.537051792828686,8.833318719859712,7.8284784377542715
Uttarakhand,0.0,Molestation,0.38392315470171895,2.0,1.2210526315789474,1.033741753063148,1.4267281105990783,0.8555555555555556,0.864935064935065,1.0766439909297052,1.0647058823529412,1.2223107569721117,1.0516440157825515,1.0104692161649038
West Bengal,0.0,Molestation,0.5957532861476239,0.8,4.1029871977240395,2.5210179076343073,1.5557603686635946,12.20277777777778,11.462337662337664,5.208163265306122,7.682352941176471,2.9474103585657367,4.712319158263919,3.703173311635476
Andhra Pradesh,0.0,Importation of Girls,0.3652173913043479,0.8,0.8113798008534852,0.7773798303487277,0.7723502304147466,0.7583333333333334,0.787012987012987,0.7882086167800454,0.8,0.7920318725099602,0.7763261727312583,0.7663683211282887
West Bengal,0.0,Indecent Representation of Women (Prohibition) Act,1.3692618806875632,0.8,0.7943100995732575,0.7698397737983035,0.8184331797235024,0.7583333333333334,0.825974025974026,0.7845804988662132,0.9470588235294118,0.7920318725099602,0.7763261727312583,0.7641985353946298
Uttarakhand,0.0,Indecent Representation of Women (Prohibition) Act,1.3692618806875632,0.8,0.7943100995732575,0.7698397737983035,0.7723502304147466,0.7583333333333334,0.7610389610389611,0.7845804988662132,0.8,0.7920318725099602,0.7763261727312583,0.7641985353946298
Uttar Pradesh,0.0,Indecent Representation of Women (Prohibition) Act,1.3692618806875632,0.9,0.7943100995732575,0.7811498586239397,0.8276497695852535,0.9527777777777778,0.7610389610389611,0.7845804988662132,1.5058823529411764,0.7920318725099602,0.7903551074090311,0.7826417141307296
Tripura,0.0,Indecent Representation of Women (Prohibition) Act,1.3692618806875632,0.8,0.7943100995732575,0.7698397737983035,0.7723502304147466,0.7583333333333334,0.7610389610389611,0.7845804988662132,0.8,0.7920318725099602,0.7763261727312583,0.7641985353946298
